specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1429+0120a_F.fits|3934.777|0.08395|12.696|0.189|11.712|10.794|11.533|4.542|4|4|4|-65.5|61.5|4264.241841433974|4265.908716852834|2679|2690|0.08399|CaII|-|none 
GOTOQJ1429+0120a_F.fits|3969.591|0.08395|12.696|0.0|11.712|0.0|11.533|0.0|4|4|4|-48.33333|40.55556|4302.1981765295295|4303.375165904439|2945|2953|0.08399|CaII|-|none 
GOTOQJ1429+0120a_F.fits|5891.5833|0.08395|12.291|0.199|5.218|2.998|0.349|1.493|2|2|2|-30.0|30.0|6385.592151839175|6386.771284230826|14792|14798|0.08395|NaI|-|none 
GOTOQJ1429+0120a_F.fits|5897.5581|0.08395|12.291|0.0|5.218|0.0|0.349|0.0|2|2|2|-30.0|30.0|6392.067938405548|6393.248266584452|14823|14828|0.08395|NaI|-|none 
