specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1220+2837a_F.fits|3934.777|0.0276|13.041|0.287|10.472|5.865|7.403|3.995|3|3|3|-20.0|35.0|4043.1143451340376|4043.8362203154347|1081|1087|0.02763|CaII|-|none 
GOTOQJ1220+2837a_F.fits|3969.591|0.0276|13.041|0.0|10.472|0.0|7.403|0.0|3|3|3|-40.0|40.0|4078.6220663879117|4079.6813568120883|1344|1351|0.02763|CaII|-|none 
GOTOQJ1220+2837a_F.fits|5891.5833|0.0276|12.82|0.014|18.499|0.954|4.07|0.504|2|2|2|-45.0|60.0|6053.306649786264|6055.37013147165|13189|13199|0.02761|NaI|-|none 
GOTOQJ1220+2837a_F.fits|5897.5581|0.0276|12.82|0.0|18.499|0.0|4.07|0.0|2|2|2|-45.0|40.0|6059.445457425823|6061.117589012602|13219|13228|0.02761|NaI|-|none 
