specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1659+6202a_F.fits|3934.777|0.11029|12.827|0.039|16.979|3.614|3.389|1.568|3|3|3|-70.0|70.0|4367.824805099132|4369.662305560868|3399|3411|0.1103|CaII|-|none 
GOTOQJ1659+6202a_F.fits|3969.591|0.11029|12.827|0.0|16.979|0.0|3.389|0.0|3|3|3|-50.0|50.0|4406.735134874889|4408.05924790511|3665|3674|0.1103|CaII|-|none 
GOTOQJ1659+6202a_F.fits|5891.5833|0.11029|12.214|0.029|14.441|3.122|-0.696|1.383|2|2|2|-35.0|45.0|6540.678194928538|6542.250371450737|15512|15519|0.11029|NaI|-|none 
GOTOQJ1659+6202a_F.fits|5897.5581|0.11029|12.214|0.0|14.441|0.0|-0.696|0.0|2|2|2|-40.0|40.0|6547.212897396399|6548.786668301602|15542|15549|0.11029|NaI|-|none 
