specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ1220+2837a_F.fits| 3934.777| 0.0276| 15| 17.5| 0| 3| 3| 3| -20.0| 35.0| 4042.87685| 4043.87685| 4042.8206| 4043.89881| CaII 
GOTOQJ1220+2837a_F.fits| 3969.591| 0.0276| 15| 30.0| 0| 3| 3| 3| -40.0| 40.0| 4078.65171| 4079.75171| 4078.68977| 4079.77755| CaII 

#GOTOQJ1220+2837a_F.fits| 5891.5833| 0.0276| 15| 20.0| 0| 4| 4| 4| -45.0| 60.0| 6053.491| 6055.391| 6053.49534| 6055.31163| NaI
GOTOQJ1220+2837a_F.fits| 5891.5833| 0.0276| 15| 10.0| 0| 2| 2| 2| -45.0| 60.0| 6053.491| 6055.391| 6053.49534| 6055.31163| NaI

#GOTOQJ1220+2837a_F.fits| 5897.5581| 0.0276| 15| 20.0| 0| 4| 4| 4| -45.0| 40.0| 6059.5307| 6061.0307| 6059.55176| 6060.9658 |NaI 
GOTOQJ1220+2837a_F.fits| 5897.5581| 0.0276| 15| 10.0| 0| 2| 2| 2| -45.0| 40.0| 6059.5307| 6061.0307| 6059.55176| 6060.9658 |NaI 
