specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

#GOTOQJ1241+6332a_F.fits | 3934.777| 0.14284| 12| 10.0|  -30| 5| 5| 5| -40.0| 10.0| 4495.82055| 4497.42055| 4495.78745| 4497.43618| CaII
GOTOQJ1241+6332a_F.fits | 3934.777| 0.14284| 13| 30.0|  0.0| 4| 4| 4| -40.0 | 10.0| 4495.82055| 4497.42055| 4495.78745| 4497.43618| CaII

GOTOQJ1241+6332a_F.fits| 5891.5833| 0.14284| 13| 35.0| 20| 3| 3| 3| -20|  -15| 6731.13706| 6734.13706| 6731.06965| 6734.2115 | NaI
GOTOQJ1241+6332a_F.fits| 5891.5833| 0.14284| 11| 35.0|-44| 2| 2| 2| -55|  -10| 6731.13706| 6734.13706| 6731.06965| 6734.2115 | NaI

GOTOQJ1241+6332a_F.fits| 5897.5581| 0.14284| 13| 29.2| 20| 3| 3| 3| -25| -20| 6738.4653 | 6741.0653| 6738.47778| 6741.17366 | NaI
GOTOQJ1241+6332a_F.fits| 5897.5581| 0.14284| 11| 29.2|-44| 2| 2| 2| -55| -10| 6738.4653 | 6741.0653| 6738.47778| 6741.17366 | NaI

