specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1238+6448a_F.fits|3934.777|0.11878|12.662|0.085|12.627|6.358|-122.522|2.436|4|4|4|-70.0|70.0|4401.231061829132|4403.068562290869|3627|3640|0.11832|CaII|-|none 
GOTOQJ1238+6448a_F.fits|3934.777|0.11878|12.992|0.028|23.978|2.985|-2.315|1.515|3|3|3|-70.0|70.0|4401.231061829132|4403.068562290869|3627|3640|0.11877|CaII|-|none 
GOTOQJ1238+6448a_F.fits|3969.591|0.11878|12.662|0.0|12.627|0.0|-122.522|0.0|4|4|4|-70.0|50.0|4440.172139858845|4441.761075495111|3892|3902|0.11832|CaII|-|none 
GOTOQJ1238+6448a_F.fits|3969.591|0.11878|12.992|0.0|23.978|0.0|-2.315|0.0|3|3|3|-70.0|50.0|4440.172139858845|4441.761075495111|3892|3902|0.11877|CaII|-|none 
GOTOQJ1238+6448a_F.fits|5891.5833|0.11878|12.806|0.015|25.911|1.31|4.547|0.805|2|2|2|-50.0|50.0|6590.402954047627|6592.368174700375|15739|15748|0.1188|NaI|-|none 
GOTOQJ1238+6448a_F.fits|5897.5581|0.11878|12.806|0.0|25.911|0.0|4.547|0.0|2|2|2|-60.0|60.0|6596.889722939098|6599.250379296904|15769|15780|0.1188|NaI|-|none 
