specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ0902+1414a_F.fits| 3934.777| 0.05055| 15| 70.0| 0| 3| 3| 3| -100     | 100    | 4132.53998| 4136.45998| 4132.4712 | 4136.40011| CaII 
GOTOQJ0902+1414a_F.fits| 3969.591| 0.05055| 15| 70.0| 0| 3| 3| 3| -100	   | 100    | 4169.45383| 4170.89827| 4169.41373| 4170.94277| CaII

GOTOQJ0902+1414a_F.fits| 5891.5833| 0.05055| 15| 73.0| 0| 2| 2| 2| -100.0| 100.0| 6187.40284| 6190.90284| 6187.32069| 6190.82777| NaI 
GOTOQJ0902+1414a_F.fits| 5897.5581| 0.05055| 15| 77.0| 0| 2| 2| 2| -110.0| 110.0| 6193.77966| 6197.17966| 6193.71745| 6197.22816| NaI 
