specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans
GOTOQJ0902+1414b_F.fits| 5891.5833| 0.05045| 15| 20.0| 0| 2| 2| 2| -30.0| 50.0| 6188.31368| 6189.81368| 6188.35198| 6189.79607| NaI 
GOTOQJ0902+1414b_F.fits| 5897.5581| 0.05045| 15| 21.0| 0| 2| 2| 2| -30.0| 30.0| 6194.38991| 6195.78991| 6194.33684| 6195.78233| NaI
