specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1328+2159a_F.fits|3934.777|0.13528|13.057|0.243|6.391|1.262|3.303|2.117|3|3|3|-40.0|40.0|4466.548632428076|4467.598632691925|4069|4076|0.13529|CaII|-|none 
GOTOQJ1328+2159a_F.fits|3969.591|0.13528|13.057|0.0|6.391|0.0|3.303|0.0|3|3|3|-30.0|30.0|4506.200036570934|4506.994504389067|4334|4340|0.13529|CaII|-|none 
GOTOQJ1328+2159a_F.fits|5891.5833|0.13528|11.698|0.114|13.62|12.516|-3.721|5.253|2|2|2|-20.0|35.0|6688.203644693451|6689.284516052464|16181|16186|0.13527|NaI|-|none 
GOTOQJ1328+2159a_F.fits|5897.5581|0.13528|11.698|0.0|13.62|0.0|-3.721|0.0|2|2|2|-60.0|53.75|6694.199431589098|6696.437137094935|16208|16218|0.13527|NaI|-|none 
