specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1457+5321a_F.fits|3934.777|0.06585|12.373|0.122|37.77|20.121|-12.863|11.21|3|3|3|-65.5|61.5|4193.022377733973|4194.689253152834|2173|2185|0.0658|CaII|-|none 
GOTOQJ1457+5321a_F.fits|3969.591|0.06585|12.373|0.0|37.77|0.0|-12.863|0.0|3|3|3|-55.0|55.0|4230.260305183378|4231.716829516621|2439|2449|0.0658|CaII|-|none 
GOTOQJ1457+5321a_F.fits|5891.5833|0.06585|12.045|0.068|34.184|8.291|2.32|5.094|2|2|2|-60.0|60.0|6278.364927913351|6280.72319269665|14284|14295|0.06586|NaI|-|none 
GOTOQJ1457+5321a_F.fits|5897.5581|0.06585|12.045|0.0|34.184|0.0|2.32|0.0|2|2|2|-60.0|53.75|6284.731972706097|6286.9696782119345|14315|14325|0.06586|NaI|-|none 
