specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ1158+3907a_F.fits| 3934.777 | 0.1837| 12.4| 30.0| 0| 3| 3| 3| -65.5    | 61.5 | 4656.45553| 4658.37553| 4656.38897| 4658.40714| CaII 
GOTOQJ1158+3907a_F.fits| 3969.591 | 0.1837| 12.4| 30.0| 0| 3| 3| 3| -48.33333| 40.5 | 4698.00487| 4699.44931| 4698.01509| 4699.42468| CaII 
GOTOQJ1158+3907a_F.fits| 5891.5833| 0.1837|   11| 20.0| 0| 2| 2| 2| -55.35714| 50.9 | 6972.71715| 6974.86715| 6972.6834 | 6974.77549| NaI 
GOTOQJ1158+3907a_F.fits| 5897.5581| 0.1837|   11| 20.0| 0| 2| 2| 2| -60.0    | 53.75| 6979.77286| 6981.96452| 6979.65946| 6981.98636| NaI 
