specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1248+4035a_F.fits|3934.777|0.15131|12.659|0.17|4.0|0.0|69.673|2.76|4|4|4|-55.0|90.0|4529.426232688604|4531.329358166831|4489|4501|0.15158|CaII|-|none 
GOTOQJ1248+4035a_F.fits|3934.777|0.15131|12.928|0.068|15.332|3.976|2.192|1.806|3|3|3|-55.0|90.0|4529.426232688604|4531.329358166831|4489|4501|0.15132|CaII|-|none 
GOTOQJ1248+4035a_F.fits|3969.591|0.15131|12.659|0.0|4.0|0.0|69.673|0.0|4|4|4|-35.0|25.0|4569.766374649422|4570.560842467556|4755|4760|0.15158|CaII|-|none 
GOTOQJ1248+4035a_F.fits|3969.591|0.15131|12.928|0.0|15.332|0.0|2.192|0.0|3|3|3|-35.0|25.0|4569.766374649422|4570.560842467556|4755|4760|0.15132|CaII|-|none 
GOTOQJ1248+4035a_F.fits|5891.5833|0.15131|12.624|0.043|7.088|0.462|2.68|0.519|2|2|2|-45.0|35.0|6782.154419829264|6783.726596351464|16600|16607|0.15132|NaI|-|none 
GOTOQJ1248+4035a_F.fits|5897.5581|0.15131|12.624|0.0|7.088|0.0|2.68|0.0|2|2|2|-35.0|35.0|6789.229091339973|6790.606140882028|16631|16637|0.15132|NaI|-|none 
