specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ0013-0024a_F.fits|3934.777|0.15545|12.787|0.228 |14.076|17.93|-41.416|11.822|5|5|5|-100.0|100.0|4545.125584320189|4547.750584979813|4592|4610|0.15529|CaII|-|none
GOTOQJ0013-0024a_F.fits|3934.777|0.15545|12.915|0.195 |36.716|21.45|18.591 |18.466 |4|4|4|-100.0|100.0|4545.125584320189|4547.750584979813|4592|4610|0.15552|CaII|-|none
GOTOQJ0013-0024a_F.fits|3969.591|0.15545|12.787|0.0   |14.076|0.0  |-41.416|0.0|5|5|5|-48.33|40.55|4586.023977122494|4587.200848783755|4861|4869|0.15529|CaII|-|none
GOTOQJ0013-0024a_F.fits|3969.591|0.15545|12.915|0.0   |36.716|0.0  |18.591 |0.0 |4|4|4|-48.33|40.55|4586.023977122494|4587.200848783755|4861|4869|0.15552|CaII|-|none
GOTOQJ0013-0024a_F.fits|5891.5833|0.15545|12.363|0.071|17.878|5.514|18.117 |3.67 |3|3|3|-75.0|68.0|6805.956008495439|6808.76627402887|16705|16717|0.15552|NaI|-|none
GOTOQJ0013-0024a_F.fits|5891.5833|0.15545|12.225|0.101|19.026|7.189|-30.27 |5.064|2|2|2|-75.0|68.0|6805.956008495439|6808.76627402887|16705|16717|0.15533|NaI|-|none
GOTOQJ0013-0024a_F.fits|5897.5581|0.15545|12.363|0.0  |17.878|0.0  |18.117 |0.0  |3|3|3|-90.0|70.0|6812.563014376646|6815.710556187054|16734|16748|0.15552|NaI|-|none
GOTOQJ0013-0024a_F.fits|5897.5581|0.15545|12.225|0.0  |19.026|0.0  |-30.27 |0.0  |2|2|2|-90.0|70.0|6812.563014376646|6815.710556187054|16734|16748|0.15533|NaI|-|none
