specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ1659+6202a_F.fits| 3934.777| 0.11029| 15| 35.0| 0| 3| 3| 3| -70.0| 70.0| 4367.74356| 4369.54356| 4367.72082| 4369.61387| CaII 
GOTOQJ1659+6202a_F.fits| 3969.591| 0.11029| 15| 30.0| 0| 3| 3| 3| -50.0| 50.0| 4406.59719| 4407.99719| 4406.61948| 4407.94165| CaII 


GOTOQJ1659+6202a_F.fits| 5891.5833| 0.11029| 15| 25.0| 0| 2| 2| 2| -35.0| 45.0| 6540.36602| 6542.56602| 6540.41891| 6542.59938| NaI 
GOTOQJ1659+6202a_F.fits| 5897.5581| 0.11029| 15| 25.0| 0| 2| 2| 2| -40.0| 40.0| 6547.29978| 6548.89978| 6547.39896| 6548.92684| NaI 
