specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ1429+0120a_F.fits| 3934.777| 0.08395| 15| 12.0| 0| 4| 4| 4| -65.5    | 61.5    | 4263.96153| 4265.88153| 4264.003  | 4265.8511 | CaII
GOTOQJ1429+0120a_F.fits| 3969.591| 0.08395| 15| 12.0| 0| 4| 4| 4| -48.33333| 40.55556| 4302.03816| 4303.48261| 4301.97796| 4303.41217| CaII 

#GOTOQJ1429+0120a_F.fits| 5891.5833| 0.08395| 15| 20.0|-15| 3| 3| 3| -30.0| 30.0| 6385.48172| 6386.88172| 6385.53293| 6386.81015| NaI
GOTOQJ1429+0120a_F.fits| 5891.5833| 0.08395| 15| 20.0|  0| 2| 2| 2| -30.0| 30.0| 6385.48172| 6386.88172| 6385.53293| 6386.81015| NaI

#GOTOQJ1429+0120a_F.fits| 5897.5581| 0.08395| 15| 20.0|-15| 3| 3| 3| -30.0| 30.0| 6391.6581  | 6393.1581| 6391.7085 | 6393.20004| NaI 
GOTOQJ1429+0120a_F.fits| 5897.5581| 0.08395| 15| 20.0|  0| 2| 2| 2| -30.0| 30.0| 6391.6581  | 6393.1581| 6391.7085 | 6393.20004| NaI 
