specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ1248+4035a_F.fits| 3934.777| 0.15131| 15| 20.0| 0| 4| 4| 4| -55.0| 90.0| 4529.44811| 4531.14811| 4529.48106| 4531.14215| CaII 
GOTOQJ1248+4035a_F.fits| 3934.777| 0.15131| 15| 20.0| 0| 3| 3| 3| -55.0| 90.0| 4529.44811| 4531.14811| 4529.48106| 4531.14215| CaII 


GOTOQJ1248+4035a_F.fits| 3969.591| 0.15131| 15| 20.0| 0| 4| 4| 4| -35.0| 25.0| 4569.72981| 4571.42981| 4569.66804| 4571.49624| CaII 
GOTOQJ1248+4035a_F.fits| 3969.591| 0.15131| 15| 20.0| 0| 3| 3| 3| -35.0| 25.0| 4569.72981| 4571.42981| 4569.66804| 4571.49624| CaII 


GOTOQJ1248+4035a_F.fits| 5891.5833| 0.15131| 15| 20.0| 0| 2| 2| 2| -45.0| 35.0| 6782.33877| 6783.73877| 6782.4198| 6783.7764| NaI 
GOTOQJ1248+4035a_F.fits| 5897.5581| 0.15131| 15| 23.5| 0| 2| 2| 2| -35.0| 35.0| 6789.21762| 6790.71762| 6789.2055| 6790.78981| NaI 
