specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ1605+5107a_F.fits| 3934.777| 0.09899| 15| 15.0| 0| 4| 4| 4| -65.5	  | 61.5    | 4323.14058| 4325.06058| 4323.10903 | 4325.12692| CaII 
GOTOQJ1605+5107a_F.fits| 3969.591| 0.09899| 15| 15.0| 0| 4| 4| 4| -48.33333| 40.55556| 4361.74081| 4363.18526| 4361.75577| 4363.20991| CaII 

#GOTOQJ1605+5107a_F.fits| 5891.5833| 0.09899| 15| 18.0| -3| 3| 3| 3| -30.0| 35.0| 6473.79113| 6475.39113| 6473.83103| 6475.34174| NaI
GOTOQJ1605+5107a_F.fits| 5891.5833| 0.09899| 15| 18.0|  0| 2| 2| 2| -30.0| 35.0| 6473.79113| 6475.39113| 6473.83103| 6475.34174| NaI

#GOTOQJ1605+5107a_F.fits| 5897.5581| 0.09899| 15| 23.0| -3| 3| 3| 3| -50.0| 50.0| 6480.35738| 6482.75738| 6480.30799| 6482.6845| NaI 
GOTOQJ1605+5107a_F.fits| 5897.5581| 0.09899| 15| 23.0|  0| 2| 2| 2| -50.0| 50.0| 6480.35738| 6482.75738| 6480.30799| 6482.6845| NaI 
