specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ1717+3203a_F.fits| 3934.777| 0.20018| 15| 28.0| 0| 5| 5| 5| -60.0| 50.0| 4721.54066| 4723.34066| 4721.56359| 4723.29512| CaII
GOTOQJ1717+3203a_F.fits| 3934.777| 0.20018| 15| 28.0| 0| 4| 4| 4| -60.0| 50.0| 4721.54066| 4723.34066| 4721.56359| 4723.29512| CaII

GOTOQJ1717+3203a_F.fits| 3969.591| 0.20018| 15| 25.0| 0| 5| 5| 5| -70.0| 45.0| 4763.12373| 4764.92373| 4763.13724| 4764.88401| CaII
GOTOQJ1717+3203a_F.fits| 3969.591| 0.20018| 15| 25.0| 0| 4| 4| 4| -70.0| 45.0| 4763.12373| 4764.92373| 4763.13724| 4764.88401| CaII 

GOTOQJ1717+3203a_F.fits| 5891.5833| 0.20018| 15| 29.0| 0| 3| 3| 3| -55.0| 45.0| 7069.76044| 7071.96044| 7069.80746| 7071.92868| NaI
GOTOQJ1717+3203a_F.fits| 5891.5833| 0.20018| 15| 29.0| 0| 2| 2| 2| -55.0| 45.0| 7069.76044| 7071.96044| 7069.80746| 7071.92868| NaI  

GOTOQJ1717+3203a_F.fits| 5897.5581| 0.20018| 15| 25.0| 0| 3| 3| 3| -60.0| 40.0| 7076.73128| 7078.93128| 7076.64479| 7079.00403| NaI
GOTOQJ1717+3203a_F.fits| 5897.5581| 0.20018| 15| 25.0| 0| 2| 2| 2| -60.0| 40.0| 7076.73128| 7078.93128| 7076.64479| 7079.00403| NaI
