specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1605+5107a_F.fits|3934.777|0.09899|12.885|0.073|21.799|8.545|-12.727|4.088|4|4|4|-65.5|61.5|4323.420887513973|4325.087762932834|3092|3104|0.09894|CaII|-|none 
GOTOQJ1605+5107a_F.fits|3969.591|0.09899|12.885|0.0|21.799|0.0|-12.727|0.0|4|4|4|-48.33333|40.55556|4361.9008251695295|4363.077814544439|3358|3366|0.09894|CaII|-|none 
GOTOQJ1605+5107a_F.fits|5891.5833|0.09899|12.145|0.042|12.147|4.738|4.289|1.874|2|2|2|-30.0|35.0|6474.201564671174|6475.478958095463|15206|15212|0.09901|NaI|-|none 
GOTOQJ1605+5107a_F.fits|5897.5581|0.09899|12.145|0.0|12.147|0.0|4.289|0.0|2|2|2|-50.0|50.0|6480.373769503248|6482.340983134752|15234|15243|0.09901|NaI|-|none 
