specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1241+6332a_F.fits|3934.777|0.14284|13.095|0.027|30.437|2.913|0.418|1.622|4|4|4|-85.0|45.0|4495.704921399661|4497.411171828415|4264|4276|0.14284|CaII|-|none 
GOTOQJ1241+6332a_F.fits|5891.5833|0.14284|12.012|0.059|4.0|0.0|-44.538|0.724|2|2|2|-100.0|25.0|6731.171837919251|6733.628363735188|16373|16384|0.14267|NaI|-|none 
GOTOQJ1241+6332a_F.fits|5897.5581|0.14284|12.012|0.0|4.0|0.0|-44.538|0.0|2|2|2|-45.0|25.0|6739.080052869824|6740.457102411878|16409|16415|0.14267|NaI|-|none 
GOTOQJ1241+6332a_F.fits|5891.5833|0.14284|12.781|0.012|21.013|0.979|20.655|0.569|3|3|3|-100.0|25.0|6731.171837919251|6733.628363735188|16373|16384|0.14292|NaI|-|none 
GOTOQJ1241+6332a_F.fits|5897.5581|0.14284|12.781|0.0|21.013|0.0|20.655|0.0|3|3|3|-45.0|25.0|6739.080052869824|6740.457102411878|16409|16415|0.14292|NaI|-|none 
