specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|trans

GOTOQJ1238+6448a_F.fits| 3934.777| 0.11878| 15| 34.0| 0| 4| 4| 4| -70.0| 70.0| 4399.84981| 4403.04981| 4399.86796| 4403.09566| CaII 
GOTOQJ1238+6448a_F.fits| 3934.777| 0.11878| 15| 34.0| 0| 3| 3| 3| -70.0| 70.0| 4399.84981| 4403.04981| 4399.86796| 4403.09566| CaII 

GOTOQJ1238+6448a_F.fits| 3969.591| 0.11878| 15| 35.0| 0| 4| 4| 4| -70.0| 50.0| 4439.09902| 4441.69902| 4439.05293| 4441.71711| CaII 
GOTOQJ1238+6448a_F.fits| 3969.591| 0.11878| 15| 35.0| 0| 3| 3| 3| -70.0| 50.0| 4439.09902| 4441.69902| 4439.05293| 4441.71711| CaII 


GOTOQJ1238+6448a_F.fits| 5891.5833| 0.11878| 15| 35.0| 0| 2| 2| 2| -50.0| 50.0| 6590.28556| 6592.48556| 6590.31462| 6592.51172| NaI 
GOTOQJ1238+6448a_F.fits| 5897.5581| 0.11878| 15| 33.5| 0| 2| 2| 2| -60.0| 60.0| 6596.97005| 6599.17005| 6596.90812| 6599.10742| NaI
