specfile|restwave|zsys|col|sigcol|bval|sigbval|vel|sigvel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|pix1|pix2|z_comp|trans|rely|comment 
GOTOQJ1158+3907a_F.fits|3934.777|0.1837|12.405|0.096|70.233|20.623|-13.24|13.673|3|3|3|-65.5|61.5|4656.735847183973|4658.402722602834|5320|5331|0.18365|CaII|-|none 
GOTOQJ1158+3907a_F.fits|3969.591|0.1837|12.405|0.0|70.233|0.0|-13.24|0.0|3|3|3|-48.33333|40.5|4698.164878779529|4699.34113247724|5586|5593|0.18365|CaII|-|none 
#GOTOQJ1158+3907a_F.fits|5891.5833|0.1837|10.971|0.56|27.575|59.069|-50.56|34.632|2|2|2|-55.35714|50.9|6972.779262261949|6974.867449522249|17431|17440|0.1835|NaI|-|none 
#GOTOQJ1158+3907a_F.fits|5897.5581|0.1837|10.971|0.0|27.575|0.0|-50.56|0.0|2|2|2|-60.0|53.75|6979.759194791097|6981.996900296935|17461|17471|0.1835|NaI|-|none 
