#RAJ2000    |DEJ2000	|DL    |b    |FHa   |e_FHa|SFRHac|logM*|e_logM*|E_logM*
#"h:m:s"    |"d:m:s"	|Mpc   |     |10-20W/m2|10-20W/m2|Msun/yr|[Msun]|[Msun]|[Msun]
#-----------|-----------|------|-----|------|-----|-----|-----|-----|-----
12 53 39.10|+17 58 32.06|2178.5|     | 26.55| 4.30| 1.18| 8.85| 1.00| 1.00
13 06 34.62|+52 32 50.33| 540.1| 4.55| 52.40| 5.60| 0.17| 7.68| 0.00| 0.06
13 08 53.89|+28 11 29.50|  88.7|11.08| 31.96| 7.60| 0.01| 6.66| 0.14| 0.03
#13 14 00.58|+20 36 59.30| 408.1| 6.18| 16.11| 4.50|     | 8.25| 0.05| 0.06
#13 18 04.70|+52 25 10.34|2126.1|12.68| 19.10| 5.60| 0.70| 9.43| 0.11| 0.16
#13 25 42.23|+25 55 25.03|2385.2|     |      |     |     | 8.50| 1.00| 1.00
13 28 24.33|+21 59 19.66| 636.8|12.68| 37.48| 7.50| 0.16| 9.06| 0.05| 0.75
#13 29 18.68|+63 04 24.00|1955.4|     |      |     |     |     | 1.00| 1.00
13 34 03.19|+56 10 07.21| 359.4| 5.71| 17.10| 5.70| 0.04| 8.74| 0.04| 0.09
13 37 33.24|+44 51 29.77| 761.2|     | 49.20| 8.70| 0.35| 8.17| 1.00| 1.00
13 45 01.30|+15 25 49.15| 269.6| 6.67| 47.22| 8.50| 0.09| 9.89| 0.07| 0.07
14 00 46.84|+06 29 14.36|1211.6| 6.97| 25.35| 6.30| 0.73|10.39| 0.20| 0.07
14 00 56.51|+45 50 00.83| 692.9| 3.84| 52.83| 9.20|12.54|10.32| 0.08| 0.04
14 01 03.31|-00 50 30.64|1899.1|     | 38.76| 5.20|16.31| 8.90| 1.00| 1.00
14 01 59.75|+41 41 56.23| 560.7| 1.20|223.00|12.60| 0.80| 9.11| 0.49| 0.41
#14 24 21.70|+45 35 23.87|2308.3| 9.00|      |     |     | 8.20| 0.00| 0.00
14 29 17.69|+01 20 58.93| 383.0| 3.43| 39.18| 5.80| 0.11| 9.87| 0.32| 0.08
14 34 58.05|+50 41 18.60| 975.7| 7.30|147.00|10.40| 3.54| 9.93| 0.58| 0.27
14 43 05.53|+02 14 19.30|1988.0|     | 12.10| 3.20| 0.70| 8.61| 1.00| 1.00
#14 44 12.84|+02 23 01.77| 659.9|     | 23.58| 5.40|     | 7.72| 1.00| 1.00
14 52 40.53|+54 43 45.11| 473.1|     | 78.70| 9.80| 0.25| 7.96| 1.00| 1.00
14 57 19.00|+53 21 59.27| 296.8| 4.24| 21.25| 5.60| 0.04| 9.28| 0.04| 0.11
14 59 38.50|+37 13 14.70| 707.5| 4.40| 75.60| 6.70| 3.55| 9.60| 0.68| 0.23
15 01 40.43|+57 10 26.10| 478.5| 8.70| 78.10| 6.20| 0.22| 9.14| 0.31| 0.60
15 02 59.92|+08 25 41.53|1273.3| 5.75| 25.60| 4.30| 1.07| 9.80| 0.73| 0.09
#15 15 43.02|+02 57 19.33| 164.3| 1.01| 45.49| 4.30|     | 8.68| 0.86| 0.12
#15 25 14.08|+02 02 54.68| 411.5| 3.12| 26.03| 3.50|     | 8.26| 0.03| 0.05
#15 40 09.18|+17 31 03.58| 701.2|     | 23.75| 5.60|     | 7.76| 1.00| 1.00
#15 45 42.79|+50 57 59.08|3001.1|     |      |     |     | 9.42| 1.00| 1.00
#16 02 48.50|+49 16 40.80|1013.5|     | 35.40| 4.50|     | 8.30| 1.00| 1.00
16 05 21.26|+51 07 40.95| 457.4| 3.80| 96.10| 8.90| 0.19| 9.32| 0.18| 0.73
16 10 16.18|+50 07 28.87| 593.5|     | 34.30| 4.70| 0.52| 7.80| 1.00| 1.00
16 16 07.36|+21 24 01.14|1763.2| 2.74| 44.30| 4.50| 1.58| 9.40| 0.09| 0.33
#16 17 28.96|+06 16 04.33|4922.1|     |      |     |     | 9.99| 1.00| 1.00
#16 18 18.24|+45 45 23.39|1245.3| 0.37| 22.01| 3.70|     | 9.03| 0.29| 0.13
16 39 56.35|+11 27 58.70| 358.5| 5.26|147.00|10.50| 0.18| 9.90| 0.15| 0.03
#16 55 08.97|+22 41 50.96|2513.5| 9.68|      |     |     | 8.59| 0.00| 0.01
#16 56 32.14|+41 46 17.34|3978.8| 0.96|      |     |     | 9.00| 0.00| 0.00
16 56 43.35|+25 41 36.80| 151.7| 1.13| 34.72| 5.50| 0.03| 8.89| 0.07| 0.06
16 57 43.05|+22 11 49.11|1351.3| 4.96|272.73|13.20|19.19|10.60| 0.11| 0.05
16 58 29.48|+33 26 04.82| 727.2| 6.01| 21.34| 5.40| 0.45| 9.41| 0.10| 0.07
16 59 58.94|+62 02 18.14| 511.2| 7.15| 95.75| 7.60| 0.26| 9.78| 0.04| 0.04
17 17 04.14|+32 03 20.93| 980.1| 7.51| 44.70| 4.50| 1.15| 9.89| 0.13| 0.11

