#RAJ2000	DEJ2000		zQSO	zGal	b	SFRHa	SFROII	SFRHac	SFROIIc	logM*	e_logM*	E_logM*
#"h:m:s"	"d:m:s"	 	 	 		Msun/yr	Msun/yr	Msun/yr	Msun/yr	[Msun]	[Msun]	[Msun]
#----------	------------	------	-------	-----	------	-----	-----	------	-----	-----	-----
11 58 22.85	+39 07 12.96	 1.160	 0.1835	 4.66	 0.240	 0.57	 0.15	  0.26	 7.42	 0.00	 0.01
12 05 38.77	+60 40 57.99	 0.540	 0.4336	 9.71	      	 3.86	     	      	10.52	 0.08	 0.06
12 09 08.53	+02 27 34.41	 1.340	 0.6693	     	      	 9.29	     	      	 9.79	 1.00	 1.00
12 15 10.98	+14 18 02.25	 1.300	 0.4208	 0.48	      	 3.45	     	      	11.54	 0.07	 0.00
12 20 37.23	+28 37 52.03	 2.200	 0.0277	 6.88	 0.010	 0.03	     	      	 8.68	 0.21	 0.18
12 27 52.02	+16 55 22.72	 3.350	 0.5646	 11.86	      	 6.76	     	      	 8.72	 0.00	 0.01
12 38 44.79	+10 56 22.20	 1.300	 0.1185	 2.60	 0.350	 0.21	 1.00	  1.45	 9.58	 0.28	 0.63
12 38 46.68	+64 48 36.60	 1.560	 0.1190	 7.00	 0.340	 0.10	 2.21	  3.16	 7.72	 1.00	 1.00
12 41 57.55	+63 32 41.63	 2.620	 0.1429	 10.57	 0.270	 0.48	 0.40	  1.00	10.59	 0.24	 0.09
12 48 14.43	+40 35 35.13	 2.110	 0.1513	 4.00	 0.080	 0.38	     	      	10.18	 0.77	 0.08
12 53 39.10	+17 58 32.06	 0.500	 0.4010	     	 1.190	 1.17	 1.18	  1.16	 8.85	 1.00	 1.00
13 06 34.62	+52 32 50.33	 2.570	 0.1161	 4.55	 0.140	     	 0.17	      	 7.68	 0.00	 0.06
13 08 53.89	+28 11 29.50	 1.790	 0.0204	 11.08	 0.002	     	 0.01	      	 6.66	 0.14	 0.03
13 14 00.58	+20 36 59.30	 1.790	 0.0893	 6.18	 0.030	 0.11	     	      	 8.25	 0.05	 0.06
13 18 04.70	+52 25 10.34	 2.990	 0.3928	 12.68	 0.820	 2.43	 0.70	  1.85	 9.43	 0.11	 0.16
13 25 42.23	+25 55 25.03	 1.440	 0.4329	     	      	 0.55	     	      	 8.50	 1.00	 1.00
13 28 24.33	+21 59 19.66	 0.330	 0.1352	 12.68	 0.140	 0.36	 0.16	  0.44	 9.06	 0.05	 0.75
13 29 18.68	+63 04 24.00	 0.990	 0.3658	     	      	     	     	      	     	 1.00	 1.00
13 34 03.19	+56 10 07.21	 2.150	 0.0792	 5.71	 0.020	 0.07	 0.04	  0.20	 8.74	 0.04	 0.09
13 37 33.24	+44 51 29.77	 1.170	 0.1592	     	 0.270	 0.54	 0.35	  0.43	 8.17	 1.00	 1.00
13 45 01.30	+15 25 49.15	 1.550	 0.0602	 6.67	 0.030	 0.04	 0.09	  0.26	 9.89	 0.07	 0.07
14 00 46.84	+06 29 14.36	 1.010	 0.2415	 6.97	 0.350	 0.39	 0.73	  1.53	10.39	 0.20	 0.07
14 00 56.51	+45 50 00.83	 0.240	 0.1461	 3.84	 0.240	 0.24	12.54	362.60	10.32	 0.08	 0.04
14 01 03.31	-00 50 30.64	 0.930	 0.3568	     	 1.320	 0.84	16.31	 86.78	 8.90	 1.00	 1.00
14 01 59.75	+41 41 56.23	 1.700	 0.1202	 1.20	 0.660	 0.54	 0.80	  0.76	 9.11	 0.49	 0.41
14 24 21.70	+45 35 23.87	 1.610	 0.4211	 9.00	      	 1.33	     	      	 8.20	 0.00	 0.00
14 29 17.69	+01 20 58.93	 1.130	 0.0841	 3.43	 0.050	 0.06	 0.11	  0.22	 9.87	 0.32	 0.08
14 34 58.05	+50 41 18.60	 1.490	 0.1992	 7.30	 1.320	 0.63	 3.54	  3.89	 9.93	 0.58	 0.27
14 43 05.53	+02 14 19.30	 1.820	 0.3710	     	      	     	 0.70	  0.80	 8.61	 1.00	 1.00
14 44 12.84	+02 23 01.77	 1.220	 0.1397	     	 0.100	 0.10	     	      	 7.72	 1.00	 1.00
14 52 40.53	+54 43 45.11	 1.520	 0.1026	     	 0.170	 0.15	 0.25	  0.32	 7.96	 1.00	 1.00
14 57 19.00	+53 21 59.27	 1.200	 0.0660	 4.24	 0.020	 0.07	 0.04	  0.37	 9.28	 0.04	 0.11
14 59 38.50	+37 13 14.70	 1.220	 0.1489	 4.40	 0.360	 0.17	 3.55	 11.50	 9.60	 0.68	 0.23
15 01 40.43	+57 10 26.10	 1.800	 0.1037	 8.70	 0.170	 0.17	 0.22	  0.28	 9.14	 0.31	 0.60
15 02 59.92	+08 25 41.53	 1.660	 0.2523	 5.75	 0.390	 0.77	 1.07	  4.92	 9.80	 0.73	 0.09
15 15 43.02	+02 57 19.33	 2.030	 0.0373	 1.01	 0.010	 0.01	     	      	 8.68	 0.86	 0.12
15 25 14.08	+02 02 54.68	 1.220	 0.0900	 3.12	 0.040	     	     	      	 8.26	 0.03	 0.05
15 40 09.18	+17 31 03.58	 1.040	 0.1477	     	 0.110	 0.14	     	      	 7.76	 1.00	 1.00
15 45 42.79	+50 57 59.08	 0.940	 0.5246	     	      	 4.18	     	      	 9.42	 1.00	 1.00
16 02 48.50	+49 16 40.80	 1.073	 0.2061	     	 0.360	     	     	      	 8.30	 1.00	 1.00
16 05 21.26	+51 07 40.95	 1.230	 0.0994	 3.80	 0.190	 0.17	 0.19	  0.18	 9.32	 0.18	 0.73
16 10 16.18	+50 07 28.87	 0.240	 0.1267	     	 0.120	 0.06	 0.52	  0.83	 7.80	 1.00	 1.00
16 16 07.36	+21 24 01.14	 1.120	 0.3348	 2.74	 1.300	 2.48	 1.58	  3.54	 9.40	 0.09	 0.33
16 17 28.96	+06 16 04.33	 1.240	 0.7876	     	      	 14.48	     	      	 9.99	 1.00	 1.00
16 18 18.24	+45 45 23.39	 1.300	 0.2474	 0.37	 0.320	     	     	      	 9.03	 0.29	 0.13
16 39 56.35	+11 27 58.70	 0.990	 0.0790	 5.26	      	     	 0.18	  1.29	 9.90	 0.15	 0.03
16 55 08.97	+22 41 50.96	 0.620	 0.4524	 9.68	      	 2.13	     	      	 8.59	 0.00	 0.01
16 56 32.14	+41 46 17.34	 2.160	 0.6620	 0.96	      	 7.13	     	      	 9.00	 0.00	 0.00
16 56 43.35	+25 41 36.80	 0.243	 0.0345	 1.13	 0.010	 0.01	 0.03	  0.13	 8.89	 0.07	 0.06
16 57 43.05	+22 11 49.11	 1.770	 0.2658	 4.96	 4.720	 1.79	19.19	 23.89	10.60	 0.11	 0.05
16 58 29.48	+33 26 04.82	 3.040	 0.1527	 6.01	 0.110	 0.18	 0.45	  2.64	 9.41	 0.10	 0.07
16 59 58.94	+62 02 18.14	 0.230	 0.1103	 7.15	 0.240	 0.38	 0.26	  0.46	 9.78	 0.04	 0.04
17 17 04.14	+32 03 20.93	 0.660	 0.2000	 7.51	 0.410	 0.62	 1.15	  4.28	 9.89	 0.13	 0.11

